Group,Item,Status,Priority,Story ID,Dependencies,FR Coverage,Description
Epic 2: Homepage — The Trust Engine,Homepage Data & Hero Section,Ready for Dev,Critical,2.1,"1.1, 1.2, 1.7","FR22, FR31, FR44","WarmImmersive hero with emotional copy, parallax animation, phone CTA above fold, prefers-reduced-motion"
Epic 2: Homepage — The Trust Engine,Homepage Content Sections,Ready for Dev,High,2.2,2.1,"FR5, FR12, FR14, FR22","Persona-specific blocks, differentiators (4.8/5, 4:1 ratio, LGBTQ+), trust signals, program highlights"
Epic 2: Homepage — The Trust Engine,Homepage SEO Schema & Conversion CTAs,Ready for Dev,High,2.3,"2.2, 1.8","FR5, FR35, FR36, FR40","MedicalOrganization + LocalBusiness JSON-LD, OG tags, conversion CTAs at decision points"
Epic 3: Treatment Program Pages,Program & Therapy Content Data,Ready for Dev,High,3.1,"1.1, 1.2","FR1, FR3, FR4","Typed data for Residential/PHP/IOP/LGBTQ+/Group/CPI programs + all therapy modalities and treatment approaches"
Epic 3: Treatment Program Pages,Program Page Template & Residential Page,Ready for Dev,High,3.2,"3.1, 1.7, 1.8","FR1, FR3, FR4, FR5, FR6","Shared program template; Residential page with schedule, therapies, FAQ, JSON-LD"
Epic 3: Treatment Program Pages,PHP & IOP Program Pages,Ready for Dev,Medium,3.3,3.2,"FR1, FR3, FR4, FR5, FR6","PHP and IOP pages using shared template with program-specific content"
Epic 3: Treatment Program Pages,LGBTQ+ Affirming Care & Group Therapy Pages,Ready for Dev,Critical,3.4,3.2,"FR3, FR5, FR6, FR14","LGBTQ+ page is #1 traffic driver (140 visits/mo). Group Therapy page. Both use program template"
Epic 3: Treatment Program Pages,Therapy Modality Pages (5),Ready for Dev,Medium,3.5,"3.1, 1.7, 1.8","FR3, FR5, FR6","Individual/CBT/DBT/Family/Meditation therapy pages with shared therapy template"
Epic 3: Treatment Program Pages,Treatment Approach Pages (5),Ready for Dev,Medium,3.6,"3.1, 1.7, 1.8","FR1, FR3, FR5, FR6","Medication/Trauma-Informed/Holistic/Personalized/CPI approach pages"
Epic 3: Treatment Program Pages,Programs Hub Page,Ready for Dev,Medium,3.7,"3.1, 1.7","FR5, FR17, FR35, FR36","Hub page at /programs listing all programs by category with CollectionPage JSON-LD"
Epic 4: Condition Treatment Pages,Condition Content Data,Ready for Dev,High,4.1,"1.1, 1.2","FR2, FR3, FR6, FR15, FR16","Typed data for all ~27 conditions with symptoms, therapies, FAQ, citations, clinical reviewer"
Epic 4: Condition Treatment Pages,Condition Template & Mental Health Conditions,Ready for Dev,High,4.2,"4.1, 1.7, 1.8","FR2, FR3, FR5, FR6, FR15, FR16","Shared condition template; ~13 mental health condition pages with MedicalCondition JSON-LD"
Epic 4: Condition Treatment Pages,Substance Abuse Condition Pages,Ready for Dev,Medium,4.3,4.2,"FR2, FR3, FR5, FR6, FR15, FR16","~8 substance-related pages including Dual Diagnosis using condition template"
Epic 4: Condition Treatment Pages,Eating Disorder Condition Pages,Ready for Dev,Medium,4.4,4.2,"FR2, FR3, FR5, FR6, FR15, FR16","~6 eating disorder pages including ARFID and OSFED using condition template"
Epic 4: Condition Treatment Pages,Conditions Hub Page,Ready for Dev,Medium,4.5,4.1,"FR5, FR17, FR35, FR36","Hub page at /conditions listing all ~27 conditions by category with CollectionPage JSON-LD"
Epic 5: Insurance Coverage Pages,Insurance Content Data & Hub Page,Ready for Dev,High,5.1,"1.1, 1.2, 1.7, 1.8","FR7, FR8, FR17","Typed data for 9 providers + hub page at /insurance with provider list and phone CTA"
Epic 5: Insurance Coverage Pages,Individual Insurance Provider Pages,Ready for Dev,Medium,5.2,5.1,"FR5, FR6, FR8, FR17","9 provider pages (Aetna/Cigna/BCBS/etc.) with coverage details, FAQ, phone CTA"
Epic 6: About & Clinical Credibility,About Content Data & Team Page,Ready for Dev,Medium,6.1,"1.1, 1.2, 1.7, 1.8","FR13, FR14, FR15","Staff profiles with credentials/licenses, differentiators, Physician JSON-LD"
Epic 6: About & Clinical Credibility,Facility & Youth Academy Pages,Ready for Dev,Low,6.2,6.1,"FR14, FR24, FR28","Facility environment + Youth Academy academics pages with images"
Epic 7: Location & Service Area Pages,Location Content Data & Hub Page,Ready for Dev,High,7.1,"1.1, 1.2, 1.7, 1.8","FR24, FR25","Typed data for 5 service areas + hub at /locations with LocalBusiness JSON-LD"
Epic 7: Location & Service Area Pages,City Service Area Pages,Ready for Dev,Medium,7.2,7.1,"FR5, FR23, FR24","5 city pages (Las Vegas/Henderson/N. Las Vegas/Summerlin/Clark County) with local SEO"
Epic 8: Admissions & Contact,Admissions Content Data & Process Page,Ready for Dev,High,8.1,"1.1, 1.2, 1.7, 1.8","FR5, FR6, FR17, FR19","Step-by-step admissions process, FAQ, prominent 24/7 phone CTA"
Epic 8: Admissions & Contact,Contact Page & Form Backend,Ready for Dev,High,8.2,"8.1, 1.11","FR17, FR20","Contact form (name/email/phone/message — no PHI), Vercel serverless + Resend email"
Epic 9: Analytics & Privacy Compliance,Cookie Consent & GA4 Analytics Setup,Ready for Dev,High,9.1,"1.1, 1.7, 1.8, 1.11","FR32, FR34","Cookie consent banner, Google Consent Mode v2, GA4 via server-side GTM, two-zone tracking"
Epic 9: Analytics & Privacy Compliance,CTM Integration & Performance Monitoring,Ready for Dev,Medium,9.2,"9.1, 1.3, 1.4, 1.5","FR21, FR48","CTM dynamic number insertion on all phone CTAs, Core Web Vitals tracking"
Epic 10: Blog & Resources (Sanity CMS),Sanity CMS Setup & Blog Schema,Ready for Dev,Low,10.1,"1.1, 1.8",FR44,"Sanity project + blog post schema (Portable Text, categories, related content, SEO fields)"
Epic 10: Blog & Resources (Sanity CMS),Blog Index & Post Template Pages,Ready for Dev,Low,10.2,10.1,"FR5, FR35, FR36, FR40","Paginated /blog index + /blog/:slug post pages with Article JSON-LD"
Epic 10: Blog & Resources (Sanity CMS),Migrate Existing Blog Posts to Sanity,Ready for Dev,Medium,10.3,10.2,SEO,"Migrate 5 existing posts (~87 visits/mo) to Sanity with content preservation"
Epic 10: Blog & Resources (Sanity CMS),Blog Navigation & Site Integration,Ready for Dev,Low,10.4,10.3,"FR5, FR38","Add Blog to Nav/Footer, related blog posts on condition/program pages, sitemap inclusion"
